agency_cd,site_no,datetime,155116_00060_00003,155116_00060_00003_cd
5s,15s,20d,14n,10s
USGS,5430500,2014-01-01,1480,A:e
USGS,5430500,2014-01-02,1470,A:e
USGS,5430500,2014-01-03,1460,A:e
USGS,5430500,2014-01-04,1440,A:e
USGS,5430500,2014-01-05,1420,A:e
USGS,5430500,2014-01-06,1420,A:e
USGS,5430500,2014-01-07,1390,A:e
USGS,5430500,2014-01-08,1390,A:e
USGS,5430500,2014-01-09,1370,A:e
USGS,5430500,2014-01-10,1360,A:e
USGS,5430500,2014-01-11,1340,A:e
USGS,5430500,2014-01-12,1340,A:e
USGS,5430500,2014-01-13,1360,A:e
USGS,5430500,2014-01-14,1360,A:e
USGS,5430500,2014-01-15,1370,A:e
USGS,5430500,2014-01-16,1380,A:e
USGS,5430500,2014-01-17,1390,A:e
USGS,5430500,2014-01-18,1400,A:e
USGS,5430500,2014-01-19,1390,A:e
USGS,5430500,2014-01-20,1380,A:e
USGS,5430500,2014-01-21,1370,A:e
USGS,5430500,2014-01-22,1360,A:e
USGS,5430500,2014-01-23,1340,A:e
USGS,5430500,2014-01-24,1310,A:e
USGS,5430500,2014-01-25,1290,A:e
USGS,5430500,2014-01-26,1280,A:e
USGS,5430500,2014-01-27,1250,A:e
USGS,5430500,2014-01-28,1240,A:e
USGS,5430500,2014-01-29,1220,A:e
USGS,5430500,2014-01-30,1190,A:e
USGS,5430500,2014-01-31,1160,A:e
USGS,5430500,2014-02-01,1130,A:e
USGS,5430500,2014-02-02,1110,A:e
USGS,5430500,2014-02-03,1090,A:e
USGS,5430500,2014-02-04,1070,A:e
USGS,5430500,2014-02-05,1050,A:e
USGS,5430500,2014-02-06,1030,A:e
USGS,5430500,2014-02-07,1010,A:e
USGS,5430500,2014-02-08,996,A:e
USGS,5430500,2014-02-09,984,A:e
USGS,5430500,2014-02-10,980,A:e
USGS,5430500,2014-02-11,975,A:e
USGS,5430500,2014-02-12,970,A:e
USGS,5430500,2014-02-13,970,A:e
USGS,5430500,2014-02-14,975,A:e
USGS,5430500,2014-02-15,999,A:e
USGS,5430500,2014-02-16,1030,A:e
USGS,5430500,2014-02-17,1070,A:e
USGS,5430500,2014-02-18,1100,A:e
USGS,5430500,2014-02-19,1130,A:e
USGS,5430500,2014-02-20,1160,A:e
USGS,5430500,2014-02-21,1180,A:e
